Name,Type
Advertising Agencies,Industry
Aerospace & Defense,Industry
Agricultural Inputs,Industry
Airlines,Industry
Airports & Air Services,Industry
Aluminum,Industry
Apparel Manufacturing,Industry
Apparel Retail,Industry
Argentina,Country
Asset Management,Industry
Australia,Country
Austria,Country
Auto Manufacturers,Industry
Auto Parts,Industry
Bahamas,Country
Banks—Diversified,Industry
Banks—Regional,Industry
Basic Materials,Sector
Belgium,Country
Bermuda,Country
Beverages—Brewers,Industry
Beverages—Non-Alcoholic,Industry
Beverages—Wineries & Distilleries,Industry
Brazil,Country
British Virgin Islands,Country
Broadcasting,Industry
Building Materials,Industry
Building Products & Equipment,Industry
Bulgaria,Country
Cambodia,Country
Canada,Country
Capital Markets,Industry
Cayman Islands,Country
Chile,Country
China,Country
Coking Coal,Industry
Colombia,Country
Communication Equipment,Industry
Communication Services,Sector
Confectioners,Industry
Conglomerates,Industry
Consulting Services,Industry
Consumer Cyclical,Sector
Consumer Defensive,Sector
Consumer Electronics,Industry
Copper,Industry
Costa Rica,Country
Cyprus,Country
Czech Republic,Country
Denmark,Country
Department Stores,Industry
Discount Stores,Industry
Drug Manufacturers—Specialty & Generic,Industry
Education & Training Services,Industry
Egypt,Country
Electrical Equipment & Parts,Industry
Electronic Gaming & Multimedia,Industry
Electronics & Computer Distribution,Industry
Energy,Sector
Engineering & Construction,Industry
Entertainment,Industry
Estonia,Country
Falkland Islands,Country
Farm & Heavy Construction Machinery,Industry
Farm Products,Industry
Financial Conglomerates,Industry
Financial Data & Stock Exchanges,Industry
Financial Services,Sector
Finland,Country
Food Distribution,Industry
Footwear & Accessories,Industry
France,Country
French Guiana,Country
"Furnishings, Fixtures & Appliances",Industry
Gabon,Country
Gambling,Industry
Georgia,Country
Germany,Country
Gibraltar,Country
Gold,Industry
Greece,Country
Grocery Stores,Industry
Guernsey,Country
Health Information Services,Industry
Healthcare,Sector
Healthcare Plans,Industry
Home Improvement Retail,Industry
Hong Kong,Country
Hungary,Country
India,Country
Indonesia,Country
Industrial Distribution,Industry
Industrials,Sector
Infrastructure Operations,Industry
Insurance Brokers,Industry
Insurance—Diversified,Industry
Insurance—Life,Industry
Insurance—Property & Casualty,Industry
Insurance—Reinsurance,Industry
Insurance—Specialty,Industry
Integrated Freight & Logistics,Industry
Internet Content & Information,Industry
Internet Retail,Industry
Ireland,Country
Isle of Man,Country
Israel,Country
Italy,Country
Japan,Country
Jersey,Country
Kazakhstan,Country
Kyrgyzstan,Country
Latvia,Country
Leisure,Industry
Liechtenstein,Country
Lithuania,Country
Lodging,Industry
Lumber & Wood Production,Industry
Luxembourg,Country
Luxury Goods,Industry
Macau,Country
Malaysia,Country
Malta,Country
Marine Shipping,Industry
Martinique,Country
Mauritius,Country
Medical Care Facilities,Industry
Medical Devices,Industry
Medical Distribution,Industry
Medical Instruments & Supplies,Industry
Metal Fabrication,Industry
Mexico,Country
Monaco,Country
Mongolia,Country
Morocco,Country
Mortgage Finance,Industry
Netherlands,Country
Netherlands Antilles,Country
New Zealand,Country
Nigeria,Country
None,Sector
Norway,Country
Oil & Gas Drilling,Industry
Oil & Gas E&P,Industry
Oil & Gas Equipment & Services,Industry
Oil & Gas Integrated,Industry
Oil & Gas Midstream,Industry
Oil & Gas Refining & Marketing,Industry
Other Industrial Metals & Mining,Industry
Other Precious Metals & Mining,Industry
Packaged Foods,Industry
Packaging & Containers,Industry
Panama,Country
Paper & Paper Products,Industry
Papua New Guinea,Country
Personal Services,Industry
Peru,Country
Philippines,Country
Poland,Country
Pollution & Treatment Controls,Industry
Portugal,Country
Publishing,Industry
Railroads,Industry
Real Estate,Sector
Real Estate Services,Industry
Real Estate—Development,Industry
Real Estate—Diversified,Industry
Recreational Vehicles,Industry
REIT—Diversified,Industry
REIT—Healthcare Facilities,Industry
REIT—Hotel & Motel,Industry
REIT—Industrial,Industry
REIT—Mortgage,Industry
REIT—Office,Industry
REIT—Residential,Industry
REIT—Retail,Industry
REIT—Specialty,Industry
Rental & Leasing Services,Industry
Residential Construction,Industry
Resorts & Casinos,Industry
Restaurants,Industry
Russia,Country
Security & Protection Services,Industry
Semiconductor Equipment & Materials,Industry
Semiconductors,Industry
Shell Companies,Industry
Silver,Industry
Singapore,Country
Software—Application,Industry
Solar,Industry
South Africa,Country
South Korea,Country
Spain,Country
Specialty Business Services,Industry
Specialty Chemicals,Industry
Specialty Retail,Industry
Staffing & Employment Services,Industry
Steel,Industry
Sweden,Country
Switzerland,Country
Taiwan,Country
Tanzania,Country
Technology,Sector
Telecom Services,Industry
Textile Manufacturing,Industry
Thailand,Country
Thermal Coal,Industry
Tobacco,Industry
Travel Services,Industry
Trucking,Industry
Turkey,Country
Ukraine,Country
United Arab Emirates,Country
United Kingdom,Country
United States,Country
Uranium,Industry
Uruguay,Country
Utilities,Sector
Utilities—Diversified,Industry
Utilities—Independent Power Producers,Industry
Utilities—Regulated Electric,Industry
Utilities—Regulated Gas,Industry
Utilities—Regulated Water,Industry
Utilities—Renewable,Industry
Waste Management,Industry
